debut,fin
FNTF,FNTF
FM,FM
FPLAN,FPLAN
TC,TC
P,P
TH,TH
EBAT,EBAT
EROU,EROU
AT,AT
FNTF,FPLAN
FPLAN,FNTF
EBAT,EROU
EROU,EBAT
FNTF,TC
FM,TC
FPLAN,TC
FNTF,P
FM,P
FPLAN,P
FNTF,TH
FM,TH
FPLAN,TH
FNTF,EBAT
FM,EBAT
FPLAN,EBAT
FNTF,EROU
FM,EROU
FPLAN,EROU
FNTF,AT
FM,AT
FPLAN,AT
TC,FNTF
TC,FPLAN
TC,P
TC,TH
TC,EBAT
TC,EROU
TC,AT
P,FNTF
P,FPLAN
P,TC
P,TH
P,EBAT
P,EROU
P,AT
TH,TC
TH,EBAT
TH,EROU
TH,AT
EROU,FNTF
EROU,FM
EBAT,FPLAN
EROU,FPLAN
EBAT,TC
EROU,TC
EBAT,P
EROU,P
EBAT,TH
EBAT,AT
EROU,AT
AT,FPLAN
AT,TC
AT,P
AT,TH
AT,EBAT
AT,EROU
